Consumer Items,Date,Values
Aerated Soft Drinks (Per 4 Cans) (Dollar),2022 Dec,3.2
Apple (Each) (Dollar),2022 Dec,0.5
Bananas (Per Kilogram) (Dollar),2022 Dec,2.6
"Beef, Chilled (Per Kilogram) (Dollar)",2022 Dec,29.2
Beer (Per 6 Cans) (Dollar),2022 Dec,16.2
Broccoli (Per Kilogram) (Dollar),2022 Dec,6.9
Cabbage (Per Kilogram) (Dollar),2022 Dec,2.9
Carrots (Per Kilogram) (Dollar),2022 Dec,2.1
Cheese (Per 12 Slices) (Dollar),2022 Dec,5.7
Chicken Nasi Briyani (Per Plate) (Dollar),2022 Dec,6.4
Chicken Rice (Per Plate) (Dollar),2022 Dec,4.1
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2022 Dec,11.7
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2022 Dec,5.4
Cigarettes (Per Pack) (Dollar),2022 Dec,13.3
Cod Fish (Per Kilogram) (Dollar),2022 Dec,65.3
Coffee/Tea With Milk (Per Cup) (Dollar),2022 Dec,1.3
Coffee/Tea Without Milk (Per Cup) (Dollar),2022 Dec,1.2
Cooking Oil (Per 2 Kilogram) (Dollar),2022 Dec,6.8
Diesel (Per Litre) (Dollar),2022 Dec,2.4
"Duck, Chilled (Per Kilogram) (Dollar)",2022 Dec,8.9
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2022 Dec,3.7
Fishball Noodle (Per Bowl) (Dollar),2022 Dec,3.9
Flowery Grouper (Per Kilogram) (Dollar),2022 Dec,15.2
Fresh Milk (Per Litre) (Dollar),2022 Dec,3.5
Fried Carrot Cake (Per Plate) (Dollar),2022 Dec,3.4
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2022 Dec,9.4
Golden Snapper (Per Kilogram) (Dollar),2022 Dec,20.3
Grapes (Per Kilogram) (Dollar),2022 Dec,16
Hen Eggs (Per 10) (Dollar),2022 Dec,3.3
Ice Kachang (Per Bowl) (Dollar),2022 Dec,2.3
Infant Milk Powder (Per 100 Gram) (Dollar),2022 Dec,6.5
Instant Coffee (Per 200 Gram) (Dollar),2022 Dec,10.6
Instant Noodles (Per 5 Packets) (Dollar),2022 Dec,2.7
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2022 Dec,16.5
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2022 Dec,5.1
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2022 Dec,2.7
Medium Prawns (Per Kilogram) (Dollar),2022 Dec,18.2
Mee Rebus (Per Bowl) (Dollar),2022 Dec,3.7
"Mutton, Chilled (Per Kilogram) (Dollar)",2022 Dec,26.6
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2022 Dec,3.1
Orange (Each) (Dollar),2022 Dec,0.7
Ordinary White Bread (Per 400 Gram) (Dollar),2022 Dec,1.9
Papaya (Per Kilogram) (Dollar),2022 Dec,2.4
Pear (Each) (Dollar),2022 Dec,1.2
"Petrol, 92 Octane (Per Litre) (Dollar)",2022 Dec,2.5
"Petrol, 95 Octane (Per Litre) (Dollar)",2022 Dec,2.5
"Petrol, 98 Octane (Per Litre) (Dollar)",2022 Dec,3.1
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2022 Dec,20.5
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2022 Dec,6.1
Potatoes (Per Kilogram) (Dollar),2022 Dec,2.7
Premium Thai Rice (Per 5 Kilogram) (Dollar),2022 Dec,13.2
Roti Prata (Plain) (Per Piece) (Dollar),2022 Dec,1.3
Salmon (Per Kilogram) (Dollar),2022 Dec,34.1
Sea Bass (Per Kilogram) (Dollar),2022 Dec,11.9
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2022 Dec,11.5
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2022 Dec,4.6
Small Prawns (Per Kilogram) (Dollar),2022 Dec,13.4
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2022 Dec,13.2
Spinach (Bayam) (Per Kilogram) (Dollar),2022 Dec,4.5
Squids (Per Kilogram) (Dollar),2022 Dec,20.2
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2022 Dec,19
Threadfin (Kurau) (Per Kilogram) (Dollar),2022 Dec,56.2
Tomatoes (Per Kilogram) (Dollar),2022 Dec,2.7
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2022 Dec,2
Watermelon (Per Kilogram) (Dollar),2022 Dec,1.8
White Pomfret (Per Kilogram) (Dollar),2022 Dec,31.8
White Sugar (Per 2 Kilogram) (Dollar),2022 Dec,3.3
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2022 Dec,8.9
Wholemeal Bread (Per 400 Gram) (Dollar),2022 Dec,2.3
Aerated Soft Drinks (Per 4 Cans) (Dollar),2022 Nov,3.2
Apple (Each) (Dollar),2022 Nov,0.5
Bananas (Per Kilogram) (Dollar),2022 Nov,2.6
"Beef, Chilled (Per Kilogram) (Dollar)",2022 Nov,28.8
Beer (Per 6 Cans) (Dollar),2022 Nov,16.1
