Countries,2023 Jan,2022 Dec,2022 Nov,2022 Oct,2022 Sep,2022 Aug,2022 Jul,2022 Jun,2022 May,2022 Apr,2022 Mar,2022 Feb,2022 Jan,2021 Dec,2021 Nov,2021 Oct,2021 Sep,2021 Aug,2021 Jul,2021 Jun,2021 May,2021 Apr,2021 Mar,2021 Feb,2021 Jan,2020 Dec,2020 Nov,2020 Oct,2020 Sep,2020 Aug,2020 Jul,2020 Jun,2020 May,2020 Apr,2020 Mar,2020 Feb,2020 Jan
  Belgium ,"873,203","432,376","756,814","350,565","386,724","570,824","991,586","588,520","617,646","668,060","1,446,036","1,007,201","702,940","457,888","463,968","823,155","450,170","334,717","760,892","585,846","773,462","590,664","1,094,463","447,254","470,384","228,581","411,750","714,179","443,025","339,644","254,329","386,915","925,654","1,176,482","550,919","624,401","618,487"
  Denmark ,"27,137","31,084","29,250","67,327","44,793","42,761","48,586","34,269","37,237","34,748","34,340","26,675","32,037","28,435","24,507","22,478","30,258","27,120","179,500","27,831","15,815","22,270","24,819","23,271","24,573","12,355","14,607","18,695","14,031","15,904","13,914","13,574","9,833","18,305","15,795","33,476","18,442"
  France ,"501,794","402,218","324,451","529,962","358,786","454,328","459,094","424,547","466,344","489,309","457,987","382,847","446,179","441,787","417,352","445,179","391,514","310,002","411,915","356,333","346,259","398,291","433,983","367,562","816,892","406,905","373,405","494,312","1,198,893","748,248","330,195","327,298","275,463","329,421","371,118","379,019","344,766"
"  Germany, Federal Republic Of ","1,162,492","809,343","927,112","1,035,273","912,066","1,291,942","1,279,156","921,251","780,294","809,678","894,561","722,681","784,687","917,779","777,783","915,452","800,215","798,061","754,099","916,201","709,010","771,493","874,965","651,058","652,128","674,442","629,029","635,751","652,239","616,109","636,085","616,840","578,206","617,032","610,897","731,916","664,818"
  Greece ,"123,031","131,220","126,740","121,392","150,911","191,678","166,037","164,807","133,089","123,358","100,539","137,793","98,550","110,887","162,931","91,021","104,392","92,453","93,224","89,729","82,596","127,066","93,626","121,376","81,434","106,578","86,709","77,179","80,952","79,911","83,073","83,698","94,435","90,018","122,867","164,151","111,978"
  Ireland ,"74,789","177,243","33,157","117,698","61,522","68,379","109,400","134,281","179,510","77,319","47,636","19,881","32,085","22,400","55,726","34,508","32,235","26,744","25,801","268,595","108,373","35,605","31,978","107,426","11,134","39,043","12,943","156,489","23,969","28,713","26,511","52,091","48,372","81,404","65,351","167,639","52,272"
  Italy ,"165,335","128,641","167,460","155,578","125,791","126,344","120,489","124,441","90,730","122,721","115,529","99,591","114,199","117,893","94,072","105,439","92,937","76,819","110,520","110,337","101,415","111,104","89,175","103,583","70,294","69,085","58,627","95,575","95,369","60,203","90,617","87,036","56,620","85,844","66,789","149,231","96,267"
  Luxembourg ,"26,222","25,910","4,663","6,334","7,283","9,801","27,007","59,945","63,757","54,066","70,418","21,589","10,674","9,588","11,952","4,759","10,606","20,734","8,895","6,347","17,791","23,390","11,507","9,241","29,625","20,974","22,768","10,448","6,001","10,637","47,737","12,259","13,490","11,112","4,213","29,228","33,896"
  Netherlands ,"841,475","1,243,341","1,190,952","1,189,965","1,181,847","1,512,800","1,477,881","1,249,897","1,290,748","1,404,974","1,247,649","1,204,414","1,133,245","1,090,263","1,192,539","1,162,452","1,129,749","1,126,958","1,008,226","1,033,589","1,248,771","1,074,545","1,220,016","861,007","920,221","1,090,919","932,838","1,118,627","1,029,741","1,231,532","1,164,695","1,486,744","1,364,868","1,226,948","1,250,263","1,139,493","1,082,003"
  United Kingdom ,"415,709","360,897","322,583","357,153","379,348","498,657","405,922","397,429","391,484","378,595","426,125","451,265","330,083","324,315","385,453","380,694","383,558","628,301","498,178","355,144","364,775","336,185","372,084","304,588","317,961","294,080","236,817","265,371","670,230","1,174,141","283,611","1,006,811","296,497","440,803","397,029","422,200","362,682"
