Countries,2023 Jan,2022 Dec,2022 Nov,2022 Oct,2022 Sep,2022 Aug,2022 Jul,2022 Jun,2022 May,2022 Apr,2022 Mar,2022 Feb,2022 Jan,2021 Dec,2021 Nov,2021 Oct,2021 Sep,2021 Aug,2021 Jul,2021 Jun,2021 May,2021 Apr,2021 Mar,2021 Feb,2021 Jan,2020 Dec,2020 Nov,2020 Oct,2020 Sep,2020 Aug,2020 Jul,2020 Jun,2020 May,2020 Apr,2020 Mar,2020 Feb,2020 Jan
  Belgium ,"94,056","103,655","121,773","88,796","215,978","132,917","224,676","114,704","116,817","146,603","319,393","247,242","170,868","129,536","131,031","250,735","155,819","98,508","183,841","117,345","151,574","174,581","128,928","191,622","119,744","133,445","209,539","83,657","80,823","99,286","102,317","73,457","77,945","126,970","136,150","176,921","124,193"
  Denmark ,"57,477","67,665","67,436","63,719","61,842","126,150","55,752","50,966","51,216","55,538","76,044","40,370","142,017","52,270","91,555","54,084","151,317","61,383","56,814","146,833","55,964","44,685","117,667","73,685","105,473","143,209","45,010","43,480","70,494","44,398","95,598","41,203","65,305","62,488","54,577","124,343","84,860"
  France ,"1,609,023","1,537,347","1,563,127","1,493,161","1,660,563","1,624,646","1,555,500","1,535,920","1,365,379","1,553,618","1,289,677","1,074,703","1,426,667","1,449,230","1,259,199","1,248,425","1,432,720","1,035,905","1,279,419","1,453,443","1,239,006","1,150,424","1,906,800","987,454","1,021,290","1,141,603","1,498,854","1,922,407","1,167,166","922,015","1,088,034","895,505","690,063","912,836","1,233,320","1,123,010","1,491,370"
"  Germany, Federal Republic Of ","963,837","1,129,542","1,107,630","1,122,251","1,170,472","1,135,242","1,207,446","1,108,916","1,095,451","1,282,312","1,259,702","1,074,201","1,038,822","1,329,642","1,094,892","1,103,039","1,290,457","1,147,489","1,185,938","1,142,950","1,432,486","1,102,010","1,124,788","916,711","947,476","980,296","978,208","980,882","972,416","931,876","1,061,128","978,806","892,172","1,160,767","1,115,034","1,003,380","1,127,285"
  Greece ,"42,366","99,085","37,937","15,850","107,888","170,197","207,744","108,596","47,795","117,955","10,073","40,633","17,780","38,816","9,041","12,105","10,967","11,000","10,522","53,544","38,630","14,707","65,136","85,500","46,808","10,429","10,423","11,378","11,241","11,809","11,655","11,839","11,181","15,506","12,418","12,065","10,275"
  Ireland ,"119,842","106,678","118,525","157,648","118,936","193,225","107,148","154,789","114,569","86,763","127,647","110,898","82,200","96,356","95,135","110,319","272,126","280,524","287,457","323,034","232,561","297,031","393,479","170,727","73,413","250,720","252,154","187,158","112,631","94,134","104,004","111,688","93,891","116,897","100,595","106,456","87,483"
  Italy ,"609,123","702,472","725,004","594,994","547,587","592,000","570,591","606,990","555,654","534,144","549,561","452,391","567,318","638,714","691,514","554,736","420,816","483,107","516,562","616,494","571,999","611,275","520,491","485,485","527,951","613,730","476,816","487,904","409,767","461,599","382,371","442,728","295,412","347,814","511,874","493,798","512,050"
  Luxembourg ,"12,030","8,156","5,714","15,746","55,482","31,284","9,766","32,019","4,651","2,296","3,539","7,456","32,098","3,859","3,579","5,167","7,454","2,048","3,486","3,702","2,260","4,257","3,079","5,380","2,567","11,891","3,758","14,577","3,471","3,479","29,389","23,619","3,436","44,095","5,787","2,715","9,204"
  Netherlands ,"253,258","384,010","301,384","263,199","314,814","339,001","359,653","265,196","279,506","574,480","423,978","213,278","261,220","301,866","323,512","246,274","277,208","432,933","399,429","447,162","288,247","470,044","393,519","250,998","356,221","257,892","296,798","303,736","373,881","286,459","252,322","273,072","255,200","269,347","296,540","231,398","283,975"
  United Kingdom ,"870,329","940,088","1,050,419","859,994","1,131,385","753,406","802,819","909,903","985,209","873,970","886,714","769,356","948,415","799,724","1,000,940","691,322","682,080","649,629","793,211","844,336","569,827","691,934","878,956","750,573","858,409","755,324","635,420","802,840","762,179","863,043","830,637","739,542","1,104,023","849,831","1,136,172","1,321,706","1,104,098"
  Portugal ,"27,090","31,026","33,086","39,971","47,500","45,507","46,337","46,698","36,291","32,570","27,227","26,909","79,995","40,730","46,248","31,786","23,695","37,947","23,965","26,654","29,598","21,087","25,598","26,206","31,518","37,606","32,639","24,745","25,179","29,154","39,276","40,270","28,262","33,372","23,454","25,936","43,064"
  Spain ,"280,700","262,629","245,875","184,146","209,987","200,170","178,600","317,461","189,520","274,544","295,111","160,044","161,163","224,196","241,436","136,456","127,511","127,928","161,918","158,635","151,689","122,269","152,000","74,255","96,740","122,939","102,382","108,532","105,065","96,174","116,899","90,908","111,422","83,269","130,455","130,066","122,480"
  Austria ,"105,033","104,665","105,084","101,231","130,438","105,197","118,935","114,118","116,496","82,248","106,396","80,431","83,123","83,670","103,436","100,316","162,633","83,447","88,077","96,163","101,445","94,048","99,453","71,945","81,536","82,619","65,703","78,136","72,914","62,639","74,273","62,225","55,455","95,240","74,845","73,180","80,100"
  Finland ,"32,017","42,399","49,148","49,749","48,419","38,114","91,645","73,548","87,196","98,354","58,259","30,725","59,916","49,936","36,026","46,534","40,729","49,240","37,715","32,498","34,773","36,804","42,688","28,963","27,919","34,795","35,730","34,951","36,908","34,716","44,018","40,693","31,694","34,650","45,871","34,683","29,925"
  Norway ,"45,936","50,581","43,134","40,090","41,524","36,231","49,789","53,425","44,564","55,664","90,633","46,708","54,280","50,080","48,303","44,647","40,203","51,509","48,442","62,320","43,877","100,416","67,520","48,391","44,281","109,334","54,431","51,510","44,600","82,320","55,228","94,930","66,717","50,807","69,037","71,122","58,705"
  Sweden ,"117,803","162,253","196,484","180,230","143,127","107,557","181,260","168,909","170,417","163,301","257,417","175,309","149,089","181,120","175,272","204,238","166,433","209,660","176,030","185,878","158,396","173,900","150,127","123,206","128,405","161,400","111,295","134,101","114,475","84,892","123,624","125,208","116,142","129,160","220,796","98,183","118,465"
  Switzerland ,"672,276","992,687","949,410","1,811,943","1,758,858","1,420,434","1,937,455","941,426","1,433,645","844,154","1,000,366","988,959","1,374,633","773,415","991,215","975,916","982,530","592,419","880,337","627,453","918,046","1,004,553","1,901,500","639,679","753,225","631,159","798,242","597,361","597,220","818,335","726,897","560,427","446,190","482,705","832,311","724,391","970,886"
  Liechtenstein ,"2,938","2,250","3,686","2,650","3,558","3,380","3,229","3,055","3,438","4,006","2,640","2,804","2,951","3,311","2,985","3,597","2,724","3,655","2,597","3,631","3,716","2,789","3,744","2,612","2,859","3,105","2,345","2,227","2,788","2,421","2,505","1,402","2,349","3,329","2,430","2,869","2,822"
  Malta ,"17,553","41,040","23,080","51,734","23,836","40,703","54,619","21,429","25,475","26,320","23,192","81,616","18,169","76,979","65,852","156,403","145,303","20,379","54,541","69,906","14,958","44,893","19,176","14,389","51,714","32,239","14,927","19,082","16,183","16,899","19,717","26,047","15,044","23,609","20,391","14,917","42,930"
"  Germany, Democratic Republic Of ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Hungary ,"39,775","44,406","46,849","42,761","38,367","39,917","48,975","44,843","36,746","37,592","38,279","27,612","37,471","36,759","33,511","42,209","37,453","45,149","46,002","50,593","52,466","42,392","42,244","26,286","34,167","52,883","43,674","42,690","36,664","29,737","34,092","29,820","21,876","30,516","35,228","25,341","24,246"
  Poland ,"70,086","61,324","59,504","72,936","82,610","64,268","57,608","64,196","68,693","68,894","82,195","57,103","60,535","79,301","67,425","64,253","65,538","61,559","57,666","58,077","53,098","61,091","59,145","45,736","47,566","57,325","53,148","45,656","50,657","39,813","38,295","40,937","35,833","49,027","53,397","58,527","50,706"
  Estonia ,"5,960","5,378","6,972","5,489","7,789","7,588","8,844","6,260","7,884","52,312","5,249","20,506","6,857","8,009","74,653","4,677","45,509","6,282","6,312","4,159","3,983","6,049","7,288","2,736","2,493","2,410","3,652","3,287","3,284","2,064","1,948","4,345","1,931","2,888","4,441","4,914","4,433"
  Latvia ,"2,252","4,288","6,436","2,299","2,679","3,549","3,910","3,546","4,452","4,620","3,726","2,888","3,324","4,295","2,570","2,699","2,318","4,260","3,624","4,128","3,763","1,546","2,241","1,466","1,346","1,887","2,216","1,389","1,971","1,024","1,671","2,004","1,185","1,425","1,861",885,"1,331"
  Lithuania ,"10,122","13,594","8,716","5,892","8,406","6,345","3,338","135,585","12,346","53,185","53,700","8,831","52,056","7,758","8,029","38,070","13,052","61,180","11,845","12,598","11,125","10,231","57,734","10,644","14,204","7,809","12,180","8,739","10,548","10,732","7,116","10,000","10,014","9,946","8,567","7,184","22,159"
  Slovenia ,"8,756","7,106","8,502","8,759","7,816","7,957","7,600","6,371","7,274","7,804","6,130","5,385","5,564","8,420","7,839","7,535","6,895","7,567","6,739","9,319","7,463","6,274","5,945","4,852","5,404","4,797","4,560","4,601","4,417","5,942","6,289","4,166","8,059","5,607","6,647","3,840","4,095"
  Czech Republic ,"57,535","69,549","77,729","78,066","73,954","76,026","82,010","84,960","111,863","72,601","80,205","60,391","63,267","78,196","64,292","94,433","91,353","64,538","82,631","79,418","83,723","75,405","79,133","53,948","75,602","71,090","89,800","64,058","60,861","46,974","72,329","69,463","60,816","71,541","54,120","61,038","61,739"
  Slovak Republic (Slovakia) ,"7,147","9,115","7,487","9,522","7,399","10,549","10,839","7,301","9,303","8,311","8,786","6,294","9,865","19,244","9,600","8,960","7,722","7,641","11,291","11,325","10,824","10,116","9,032","7,707","8,307","13,720","8,318","8,711","7,723","9,106","8,090","6,745","7,101","12,895","11,601","8,328","9,510"
  Brunei Darussalam ,"273,633","143,124","121,051","214,994","208,537","311,958","248,815","247,045","307,654","446,823","178,316","161,909","118,376","238,510","272,043","180,268","175,584","209,182","137,283","105,693","44,843","110,472","102,303","56,593","71,088","99,093","26,766","54,504","67,999","36,769","25,927","36,456","49,763","96,185","70,923","242,796","278,270"
  Indonesia ,"1,759,608","2,074,781","1,971,918","1,987,191","1,924,895","2,301,232","2,032,018","2,244,033","2,242,187","2,401,307","2,245,632","1,752,288","1,854,041","1,952,388","1,988,497","1,763,060","1,706,208","1,719,227","1,601,948","1,797,188","1,444,970","1,809,239","1,750,120","1,456,104","1,433,768","1,455,271","1,369,285","1,456,209","1,526,861","1,530,155","1,602,915","1,337,827","1,226,045","1,735,603","2,093,275","2,180,859","1,736,989"
